classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.8809523809523809,0.8741496598639455,0.8809523809523809,0.8716759431045146,0.020073413848876953,0.8887815475463867,47.255706552354994
KNN,0.8809523809523809,0.8741496598639455,0.8809523809523809,0.8716759431045146,0.003932476043701172,3.997539758682251,10.506462108045394
LogisticRegression,0.8571428571428571,0.8384353741496599,0.8571428571428571,0.8399299113584826,0.014109373092651367,0.8038229942321777,52.250309211568336
