classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.8602150537634409,0.8476702508960573,0.8602150537634409,0.8458781362007171,0.348834753036499,16.137072801589966,11.526254004485477
KNN,0.8548387096774194,0.8351254480286738,0.8548387096774194,0.8358422939068102,0.002125263214111328,37.87137508392334,4.9113611424940915
LogisticRegression,0.8709677419354839,0.8727598566308242,0.8709677419354839,0.8645161290322582,0.10612916946411133,16.11408233642578,11.542698871504967
