classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.8588235294117647,0.8333333333333331,0.8588235294117647,0.83921568627451,0.2893714904785156,13.233724117279053,12.845968262103472
KNN,0.8529411764705882,0.8529411764705884,0.8529411764705882,0.8466666666666667,0.0018346309661865234,33.344648599624634,5.098269351739809
LogisticRegression,0.8705882352941177,0.8647058823529412,0.8705882352941177,0.86,0.11739206314086914,13.068153858184814,13.008723484956983
