classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.8648648648648649,0.8918918918918919,0.8648648648648649,0.8764478764478765,0.01572871208190918,0.6763286590576172,54.70713018660936
KNN,0.8648648648648649,0.8918918918918919,0.8648648648648649,0.8764478764478765,0.0009410381317138672,4.7692530155181885,7.7580283284634834
LogisticRegression,0.8378378378378378,0.8648648648648649,0.8378378378378378,0.8494208494208494,0.009962081909179688,0.6348605155944824,58.28051846215898
