classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.8315217391304348,0.8052536231884059,0.8315217391304348,0.8144927536231884,0.3343827724456787,15.788355827331543,11.654158419806695
KNN,0.8369565217391305,0.8079710144927535,0.8369565217391305,0.8134057971014492,0.002469301223754883,37.54554748535156,4.90071426103955
LogisticRegression,0.8586956521739131,0.8414855072463767,0.8586956521739131,0.8427536231884057,0.08637142181396484,15.797288417816162,11.647568565785317
