classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.7912621359223301,0.7588996763754045,0.7912621359223301,0.7689320388349516,0.420224666595459,20.73033618927002,9.937127797600562
KNN,0.8106796116504854,0.7977346278317152,0.8106796116504854,0.7912621359223301,0.0019042491912841797,44.95302152633667,4.5825618168805535
LogisticRegression,0.8009708737864077,0.7815533980582524,0.8009708737864077,0.7844660194174758,0.13915777206420898,45.404781103134155,4.536967142999407
