classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.8648648648648649,0.8918918918918919,0.8648648648648649,0.8764478764478765,0.012714624404907227,0.6405892372131348,57.759321965769274
KNN,0.8648648648648649,0.8918918918918919,0.8648648648648649,0.8764478764478765,0.000881195068359375,4.664788484573364,7.931763706406074
LogisticRegression,0.8378378378378378,0.8648648648648649,0.8378378378378378,0.8494208494208494,0.010302305221557617,0.680187463760376,54.39676849591979
