classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.9295774647887324,0.9061032863849766,0.9295774647887324,0.9126760563380282,0.3721890449523926,9.52896523475647,14.901932843879147
KNN,0.9295774647887324,0.9049295774647887,0.9295774647887324,0.9122065727699529,0.0018458366394042969,25.9072585105896,5.48108939978954
LogisticRegression,0.7464788732394366,0.6284037558685446,0.7464788732394366,0.6697518443997316,0.07496309280395508,9.281993389129639,15.298437959059479
