classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.2507462686567164,0.1888654131937714,0.2507462686567164,0.2059300898106868,6.2194600105285645,66.9262945652008,5.005506463138146
KNN,0.40298507462686567,0.38802416488983654,0.40298507462686567,0.38355366027007815,0.008066177368164062,105.11661672592163,3.186936665527111
LogisticRegression,0.0955223880597015,0.014729923062012614,0.0955223880597015,0.02483804704440655,0.7380332946777344,56.772282123565674,5.900766843771891
