classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.898936170212766,0.897163120567376,0.898936170212766,0.8900709219858156,0.3433220386505127,16.410943746566772,11.455770180147638
KNN,0.8829787234042553,0.8652482269503545,0.8829787234042553,0.8666666666666667,0.0019106864929199219,41.157941579818726,4.56776973735206
LogisticRegression,0.9095744680851063,0.9042553191489362,0.9095744680851063,0.9000000000000001,0.10068321228027344,17.186728477478027,10.93867283970655
