classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.898936170212766,0.897163120567376,0.898936170212766,0.8900709219858156,0.35341453552246094,17.180241107940674,10.942803352923072
KNN,0.8829787234042553,0.8652482269503545,0.8829787234042553,0.8666666666666667,0.001981019973754883,38.45072889328003,4.889374152614736
LogisticRegression,0.9095744680851063,0.9042553191489362,0.9095744680851063,0.9000000000000001,0.1029808521270752,36.43200707435608,5.160297636534284
