classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.6179775280898876,0.5847690387016229,0.6179775280898876,0.5905475298733726,0.832334041595459,98.80872416496277,2.7021905429548827
KNN,0.6254681647940075,0.6138576779026217,0.6254681647940075,0.6088817549491707,0.002579927444458008,67.18944478034973,3.9738384633606465
LogisticRegression,0.6067415730337079,0.5868913857677903,0.6067415730337079,0.5846976993044408,0.1614551544189453,33.917399883270264,7.872065692503085
