classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.6666666666666666,0.6172371031746032,0.6666666666666666,0.6321469907407408,0.9992804527282715,18.816354990005493,10.203889122095264
KNN,0.7552083333333334,0.7041666666666666,0.7552083333333334,0.7219907407407408,0.0023200511932373047,43.13295650482178,4.451352644434113
LogisticRegression,0.4791666666666667,0.3849082341269841,0.4791666666666667,0.3975653108465608,0.16899585723876953,18.50112819671631,10.377745506032293
