classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.7912621359223301,0.7588996763754045,0.7912621359223301,0.7689320388349516,0.4270033836364746,36.806654930114746,5.596813956365629
KNN,0.8106796116504854,0.7977346278317152,0.8106796116504854,0.7912621359223301,0.0023734569549560547,54.15524435043335,3.803879060483855
LogisticRegression,0.8009708737864077,0.7815533980582524,0.8009708737864077,0.7844660194174758,0.14661693572998047,20.300394296646118,10.14758614979384
