Algorithm,Accuracy,Precision,Recall,F1_Score,Training_Time,Inference_Time,Inference_Speed,Training_Samples,Test_Samples
KNN,0.9914163090128756,0.9924296614210777,0.9914163090128756,0.9913774687821645,0.0012905597686767578,38.872164726257324,5.994006293213031,542,233
SVM,0.9957081545064378,0.9961850262279447,0.9957081545064378,0.9956913237397964,0.13909649848937988,14.855965614318848,15.683935063461922,542,233
LogisticRegression,0.9957081545064378,0.996244635193133,0.9957081545064378,0.9957081545064378,0.08874654769897461,14.476722240447998,16.09480351491427,542,233
