classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.6044776119402985,0.5825870646766169,0.6044776119402985,0.5821250888415067,0.7088158130645752,36.15549373626709,7.412428162505573
KNN,0.6268656716417911,0.6080845771144279,0.6268656716417911,0.6058813077469793,0.002168893814086914,74.12592053413391,3.6154694345629057
LogisticRegression,0.6268656716417911,0.5927860696517413,0.6268656716417911,0.6014214641080312,0.2775406837463379,77.2989604473114,3.467058268948836
