classifier,accuracy,precision,recall,f1_score,training_time,inference_time,inference_speed
SVM,0.7391304347826086,0.6644798136645962,0.7391304347826086,0.6842865769496204,0.41893601417541504,33.16852331161499,5.547428152629474
KNN,0.7445652173913043,0.7180512422360248,0.7445652173913043,0.7129442719116633,0.0030868053436279297,48.87622785568237,3.7646113064064552
LogisticRegression,0.7336956521739131,0.6646092132505176,0.7336956521739131,0.6815907522429262,0.13470911979675293,38.76661443710327,4.746352052447861
